reference_id	source	line	status
aihot	packages/opencode/src/agent/agent.ts	182	discovered
autoresearch	packages/opencode/src/agent/agent.ts	183	discovered
browser-use	packages/opencode/src/agent/agent.ts	184	discovered
darwin-skill	packages/opencode/src/agent/agent.ts	185	discovered
deep-research	packages/opencode/src/agent/agent.ts	186	discovered
fullstack-dev	packages/opencode/src/agent/agent.ts	187	discovered
geolog-logging-review	packages/opencode/src/agent/agent.ts	188	discovered
github	packages/opencode/src/agent/agent.ts	189	discovered
github-trending-cn	packages/opencode/src/agent/agent.ts	190	discovered
image-well	packages/opencode/src/agent/agent.ts	192	discovered
markitdown-skill	packages/opencode/src/agent/agent.ts	193	discovered
material-organizer	packages/opencode/src/agent/agent.ts	194	discovered
minimax-docx	packages/opencode/src/agent/agent.ts	196	discovered
minimax-xlsx	packages/opencode/src/agent/agent.ts	197	discovered
nano-banana-pro	packages/opencode/src/agent/agent.ts	198	discovered
obsidian	packages/opencode/src/agent/agent.ts	199	discovered
openai-whisper-api	packages/opencode/src/agent/agent.ts	200	discovered
pdfkit-py	packages/opencode/src/agent/agent.ts	201	discovered
pptx-generator	packages/opencode/src/agent/agent.ts	202	discovered
prompt-engineering-expert	packages/opencode/src/agent/agent.ts	203	discovered
tencent-esign-contract	packages/opencode/src/agent/agent.ts	204	discovered
tencent-meeting-skill	packages/opencode/src/agent/agent.ts	205	discovered
tencentcloud-ocr	packages/opencode/src/agent/agent.ts	206	discovered
tender-management	packages/opencode/src/agent/agent.ts	207	discovered
tutor-skills	packages/opencode/src/agent/agent.ts	208	discovered
web-access	packages/opencode/src/agent/agent.ts	209	discovered
wpscli	packages/opencode/src/agent/agent.ts	210	discovered
yourself-skill	packages/opencode/src/agent/agent.ts	211	discovered
office-assistant	packages/opencode/src/agent/agent.ts	212	discovered
tender-document-review	packages/opencode/src/agent/agent.ts	213	discovered
审查合同	packages/opencode/src/agent/agent.ts	214	discovered
geology-knowledge	packages/opencode/src/agent/agent.ts	215	discovered
mud-logging-report-generation	packages/opencode/src/agent/agent.ts	216	discovered
document-review-tracked	packages/opencode/src/agent/agent.ts	218	discovered
llm-wiki-knowledge	packages/opencode/src/agent/agent.ts	219	discovered
起草合同	packages/opencode/src/agent/agent.ts	220	discovered
合同台账提醒	packages/opencode/src/agent/agent.ts	221	discovered
autoresearch	packages/opencode/src/agent/agent.ts	352	discovered
image-well	packages/opencode/src/agent/agent.ts	354	discovered
material-organizer	packages/opencode/src/agent/agent.ts	355	discovered
nano-banana-pro	packages/opencode/src/agent/agent.ts	357	discovered
openai-whisper-api	packages/opencode/src/agent/agent.ts	358	discovered
pptx-generator	packages/opencode/src/agent/agent.ts	359	discovered
prompt-engineering-expert	packages/opencode/src/agent/agent.ts	360	discovered
tencent-meeting-skill	packages/opencode/src/agent/agent.ts	361	discovered
yourself-skill	packages/opencode/src/agent/agent.ts	362	discovered
office-assistant	packages/opencode/src/agent/agent.ts	363	discovered
long-document-writing	packages/opencode/src/agent/agent.ts	382	discovered
meeting-minutes-manager	packages/opencode/src/agent/agent.ts	383	discovered
humanizer	packages/opencode/src/agent/agent.ts	384	discovered
geolog-logging-review	packages/opencode/src/agent/agent.ts	407	discovered
markitdown-skill	packages/opencode/src/agent/agent.ts	408	discovered
pdfkit-py	packages/opencode/src/agent/agent.ts	409	discovered
tencentcloud-ocr	packages/opencode/src/agent/agent.ts	410	discovered
geology-knowledge	packages/opencode/src/agent/agent.ts	411	discovered
document-review-tracked	packages/opencode/src/agent/agent.ts	412	discovered
markitdown-skill	packages/opencode/src/agent/agent.ts	435	discovered
pdfkit-py	packages/opencode/src/agent/agent.ts	436	discovered
tencentcloud-ocr	packages/opencode/src/agent/agent.ts	437	discovered
tender-management	packages/opencode/src/agent/agent.ts	438	discovered
tender-document-review	packages/opencode/src/agent/agent.ts	439	discovered
markitdown-skill	packages/opencode/src/agent/agent.ts	462	discovered
pdfkit-py	packages/opencode/src/agent/agent.ts	463	discovered
tencent-esign-contract	packages/opencode/src/agent/agent.ts	464	discovered
tencentcloud-ocr	packages/opencode/src/agent/agent.ts	465	discovered
审查合同	packages/opencode/src/agent/agent.ts	466	discovered
document-review-tracked	packages/opencode/src/agent/agent.ts	467	discovered
起草合同	packages/opencode/src/agent/agent.ts	468	discovered
合同台账提醒	packages/opencode/src/agent/agent.ts	469	discovered
aihot	packages/opencode/src/agent/agent.ts	498	discovered
browser-use	packages/opencode/src/agent/agent.ts	499	discovered
darwin-skill	packages/opencode/src/agent/agent.ts	500	discovered
deep-research	packages/opencode/src/agent/agent.ts	501	discovered
fullstack-dev	packages/opencode/src/agent/agent.ts	502	discovered
github	packages/opencode/src/agent/agent.ts	503	discovered
github-trending-cn	packages/opencode/src/agent/agent.ts	504	discovered
image-well	packages/opencode/src/agent/agent.ts	505	discovered
llm-wiki-knowledge	packages/opencode/src/agent/agent.ts	506	discovered
material-organizer	packages/opencode/src/agent/agent.ts	507	discovered
obsidian	packages/opencode/src/agent/agent.ts	508	discovered
tutor-skills	packages/opencode/src/agent/agent.ts	509	discovered
web-access	packages/opencode/src/agent/agent.ts	510	discovered
yourself-skill	packages/opencode/src/agent/agent.ts	511	discovered
geology-knowledge	packages/opencode/src/agent/agent.ts	512	discovered
markitdown-skill	packages/opencode/src/agent/agent.ts	537	discovered
material-organizer	packages/opencode/src/agent/agent.ts	538	discovered
minimax-docx	packages/opencode/src/agent/agent.ts	540	discovered
minimax-xlsx	packages/opencode/src/agent/agent.ts	541	discovered
openai-whisper-api	packages/opencode/src/agent/agent.ts	542	discovered
pdfkit-py	packages/opencode/src/agent/agent.ts	543	discovered
pptx-generator	packages/opencode/src/agent/agent.ts	544	discovered
tencentcloud-ocr	packages/opencode/src/agent/agent.ts	545	discovered
wpscli	packages/opencode/src/agent/agent.ts	546	discovered
office-assistant	packages/opencode/src/agent/agent.ts	547	discovered
mud-logging-report-generation	packages/opencode/src/agent/agent.ts	548	discovered
document-review-tracked	packages/opencode/src/agent/agent.ts	550	discovered
darwin-skill	packages/opencode/src/agent/xiaoxue-router.ts	22	discovered
fullstack-dev	packages/opencode/src/agent/xiaoxue-router.ts	28	discovered
github	packages/opencode/src/agent/xiaoxue-router.ts	34	discovered
github-trending-cn	packages/opencode/src/agent/xiaoxue-router.ts	40	discovered
browser-use	packages/opencode/src/agent/xiaoxue-router.ts	46	discovered
web-access	packages/opencode/src/agent/xiaoxue-router.ts	52	discovered
prompt-engineering-expert	packages/opencode/src/agent/xiaoxue-router.ts	58	discovered
yourself-skill	packages/opencode/src/agent/xiaoxue-router.ts	64	discovered
obsidian	packages/opencode/src/agent/xiaoxue-router.ts	70	discovered
tutor-skills	packages/opencode/src/agent/xiaoxue-router.ts	76	discovered
image-well	packages/opencode/src/agent/xiaoxue-router.ts	82	discovered
