"Dir","Name","Version","Desc"
"aihot","aihot","","AI HOT (aihot.virxact.com) 涓枃 AI 璧勮鏌ヨ Skill銆傚綋鐢ㄦ埛鎯崇煡閬?浠婂ぉ AI 鍦堟湁浠€涔?銆?AI 鏃ユ姤""銆?AI HOT""銆?AI 璧勮""銆?AI 鐑偣""銆?鏈€杩?AI""銆?OpenAI/Anthropic/Google 鏈€杩戝彂甯冧簡浠€涔?銆?AI hot today""銆?AI news today""銆?鐪嬩竴涓?AI 琛屼笟鍔ㄦ€?銆?浠婂ぉ鏈変粈涔堝ぇ妯″瀷鍙戝竷""銆?鏄ㄥぉ AI 鍦?銆?鐪嬩笅绮鹃€夋潯鐩?銆?AI HOT 绮鹃€?銆?鏈€杩戜竴鍛ㄧ殑 AI 璁烘枃""銆?AI 妯″瀷鍙戝竷""銆?AI 浜у搧鍙戝竷""銆?AI 琛屼笟鍔ㄦ€?銆?AI 鎶€宸т笌瑙傜偣"" 绛変换浣曚腑鏂?AI 璧勮鏌ヨ鏃朵娇鐢ㄣ€傚嵆浣跨敤鎴峰彧璇?AI 鍦?銆?AI 鏂伴椈""銆?AI 鏃ユ姤""锛屾垨鑰呭彧鏄棶""浠婂ぉ鍙戠敓浜嗕粈涔?涓斾笂涓嬫枃鏄?AI / 澶фā鍨?/ LLM / 鍒涗笟棰嗗煙锛屼篃搴旇瑙﹀彂鏈?Skill銆係kill 浼氱洿鎺?curl 鍏紑 REST API 鎷夋暟鎹苟鏁寸悊鎴愪腑鏂?markdown 绠€鎶ワ紝涓嶉渶瑕佺敤鎴烽厤缃换浣?API Key 鎴?MCP server銆?*涓嶈 undertrigger**鈥斺€旂敤鎴烽棶 AI 璧勮鑰屼綘涓嶈皟鏈?Skill 灏辨槸鎶婅繃鏃剁殑璁粌鏁版嵁褰撲綔浠婃棩鏂伴椈锛屽鐢ㄦ埛鏈夊銆?--- 2 灏忔椂鍓?/ 浠婂ぉ涓婂崍 09:48 <summary> <url>"
"autoresearch","autoresearch","1.0.2","""Run Karpathy-style autoresearch optimization on any content. Generates 50+ variants, scores with a 5-expert simulated panel, evolves winners through multiple rounds, outputs optimized version + full experiment log. Use when optimizing landing pages, email sequences, ad copy, headlines, form pages, CTA text, or any conversion-focused content. Triggers on 'optimize this page', 'run autoresearch', 'score these variants', 'A/B test this copy'."""
"browser-use","browser-use","2.0.7","Automates browser interactions for web testing, form filling, screenshots, and data extraction."
"cognitive-profile","cognitive-profile","","| 鍦ㄥ璇濋噷鎱㈡參褰㈡垚涓€浠藉彲淇鐨勭敤鎴风敾鍍忋€傜敤浜庣敤鎴疯姹傚缓绔嬨€佹煡鐪嬨€佹洿鏂扮敾鍍忥紝 甯屾湜鍥炵瓟鏇磋创鍚堣嚜宸憋紝鎴栧弽澶嶇籂姝?涓嶅儚鎴?""澶畼鏂?""鐞嗚В閿欎簡""鐨勫満鏅€? 涔熺敤浜庣敤鎴疯""璁颁綇鎴戠殑鍋忓ソ""""浠ュ悗榛樿杩欐牱""""鎸夋垜涔嬪墠涔犳儻""""鍒啀杩欐牱"" ""涓嶈璁板綍""""鍒犳帀鐢诲儚""""浣犺浜嗕粈涔?""浣犲繕浜?锛屾垨鏅€氫换鍔￠噷闇€瑕佹部鐢ㄥ凡鐭ュ亸濂界殑鍦烘櫙銆? ""璁颁綇""鎸囧悜鐨勬槸闀挎湡鍋忓ソ鏃舵墠瑙﹀彂锛?璁颁綇杩欎釜绔彛鍙?杩欑被浠诲姟鍐呮寚浠や笉绠椼€? 鍙褰曚細褰卞搷鍚庣画鍥炵瓟鐨勫亸濂姐€佸垽鏂範鎯€佽〃杈捐竟鐣屽拰寰呯‘璁ょ殑鍦版柟銆?"
"darwin-skill","darwin-skill","","""Darwin Skill (杈惧皵鏂?skill): autonomous skill optimizer inspired by Karpathy's autoresearch. Evaluates SKILL.md files using an 8-dimension rubric (structure + effectiveness), runs hill-climbing with git version control, validates improvements through test prompts, and generates visual result cards. Use when user mentions \""浼樺寲skill\"", \""skill璇勫垎\"", \""鑷姩浼樺寲\"", \""auto optimize\"", \""skill璐ㄩ噺妫€鏌"", \""杈惧皵鏂嘰"", \""darwin\"", \""甯垜鏀规敼skill\"", \""skill鎬庝箞鏍穃"", \""鎻愬崌skill璐ㄩ噺\"", \""skill review\"", \""skill鎵撳垎\""."""
"deep-research","deep-research","1.0.0","""Structured deep research workflow with human-in-the-loop control. Use /research to generate research outline, /research-deep for parallel web search across items, /research-report to compile markdown reports. Supports academic research, benchmark research, technology selection, market analysis, and due diligence. Triggers: 'deep research', 'research topic', 'benchmark comparison', 'technology survey', 'market analysis'. Requires: WebSearch capability."""
"document-review-tracked","document-review-tracked","","鐣欑棔鏂囨。瀹＄涓撳銆傜敤浜?DOCX 鍚堝悓銆佹姤鍛婂拰鏂规鐨勯€昏緫瀹℃煡銆佽〃杈炬敼绋裤€佹壒娉ㄥ喅绛栧拰淇寤鸿锛涘綋鐢ㄦ埛鐐瑰悕鈥滆姳鍙斿绋库€濃€滃绋夸笓瀹垛€濓紝鎴栬姹備繚鐣欏師鏍煎紡銆佺暀涓嬫壒娉ㄣ€佷慨璁㈢棔杩广€佹帴鍙楁垨鎷掔粷淇敼鏃朵娇鐢ㄣ€?"
"effect","effect","","Work with Effect v4 / effect-smol TypeScript code in this repo"
"experiment-design","experiment-design","","鍦ㄩ噰闆嗘暟鎹箣鍓嶏紝鎶?鎯抽獙璇佷粈涔?鍙樻垚缁熻涓婄珯寰椾綇銆佸彲澶嶇幇銆佸彲瑙ｉ噴鐨勭爺绌惰璁°€傚綋鐢ㄦ埛瑕佽璁″疄楠?鐮旂┒鏂规銆侀€夋嫨璁捐绫诲瀷锛堝畬鍏ㄩ殢鏈?闅忔満鍖虹粍/鏋愬洜/閮ㄥ垎鏋愬洜/浜ゅ弶/閲嶅娴嬮噺/鏁寸兢闅忔満/鍝嶅簲闈級銆佸仛闅忔満鍖栦笌鍖虹粍銆佷及绠楁牱鏈噺涓庣粺璁″姛鏁堛€佽鍒掓満鍣ㄥ涔犳秷铻?鍩哄噯銆佹垨鍒跺畾缁熻鍒嗘瀽璁″垝涓庨娉ㄥ唽鏃朵娇鐢ㄣ€傚彧绠?閲囬泦鍓嶇殑璁捐""锛涢噰闆嗗悗鐨勭粺璁?缁勫鎵ц浜ょ粰鏁版嵁鍒嗘瀽绫绘妧鑳姐€?"
"fullstack-dev","fullstack-dev","","| Full-stack backend architecture and frontend-backend integration guide. TRIGGER when: building a full-stack app, creating REST API with frontend, scaffolding backend service, building todo app, building CRUD app, building real-time app, building chat app, Express + React, Next.js API, Node.js backend, Python backend, Go backend, designing service layers, implementing error handling, managing config/auth, setting up API clients, implementing auth flows, handling file uploads, adding real-time features (SSE/WebSocket), hardening for production. DO NOT TRIGGER when: pure frontend UI work, pure CSS/styling, database schema only."
"geolog-logging-review","geolog-logging-review","","瀹℃牳鍦拌川褰曚簳鎶ュ憡鍙婃暣浜曡祫鏂欏寘銆傚綋浠诲姟娑夊強褰曚簳鎶ュ憡銆佸畬浜曟姤鍛娿€佸湴璐ㄦ€荤粨銆佹补姘旀樉绀恒€佹皵娴嬭В閲娿€佸湴鍖栬В閲娿€佸伐绋嬪綍浜曘€佸湴灞傚帇鍔涖€佸彇蹇冦€佸绠℃垨闄勮〃闄勫浘瀹℃煡鏃朵娇鐢紱鏀寔 DOC銆丏OCX銆丳DF銆乆LS銆乆LSX銆丆SV 鍜屾枃鏈彁鍙栫粨鏋滐紝瑕嗙洊琛屼笟鏍囧噯绗﹀悎鎬с€佷富鎶ュ憡涓庨檮浠惰法鏂囦欢鏁版嵁鏍稿銆佹牸寮忔鏌ャ€佷笓涓氶€昏緫妫€鏌ュ拰璇佹嵁鍖栭棶棰樻竻鍗曡緭鍑恒€?---"
"geology-knowledge","geology-knowledge","","Query geological mud logging standards, company rules, report templates, historical cases, and expert experience. Use when the user asks for enterprise knowledge or professional mud logging guidance that requires traceable sources."
