skill_name	display_name	source	location	enabled_xiaoxue	enabled_office	enabled_report	enabled_tender	enabled_contract	enabled_knowledge	enabled_document	health	encoding	business_domain	primary_task	trigger_summary	not_trigger_summary	tools_used	knowledge_dependencies	skill_dependencies	overlap_with	trigger_conflict_with	unique_capability	business_frequency	business_criticality	uniqueness	maintenance_cost	priority_score	recommended_level	recommended_action	reason	merge_into
geolog-logging-review	地质录井报告审核	.opencode/skills/geolog-logging-review	SKILL.md	allow	deny	allow	deny	deny	deny	deny	OK	utf8	地质录井	报告审核	录井报告/完井报告/地质总结审核；SY/T 5788 系列；DOC/DOCX/PDF/XLS/XLSX/CSV；证据化问题清单	不属于地质录井报告范围的资料审核	read, geology_report_review	knowledge/standards, knowledge/templates, audit_extracted_text.py	-	mud-logging-review	mud-logging-review	完整证据化审核流程与专业标准对位	5	5	4	4	4.65	L0	KEEP_CORE	当前 RC6 报告审核唯一主入口；事实证据化最强	-
mud-logging-review	Mud Logging Report Review	.opencode/skills/mud-logging-review	SKILL.md	allow	deny	allow	deny	deny	deny	deny	OK	utf8	地质录井	报告审核（英文版）	Review geological mud logging reports for consistency, accuracy, compliance	不属于地质录井报告审核的任务	read, geology_report_review	SY/T 5788 系列标准	-	geolog-logging-review	geolog-logging-review	与 geolog-logging-review 100% 重复	5	5	1	4	3.7	L3	MERGE	与中文 geolog-logging-review 完全重复，无独立入口价值	geolog-logging-review
geology-knowledge	地质录井知识库	.opencode/skills/geology-knowledge	SKILL.md	allow	deny	allow	deny	deny	allow	deny	OK	utf8	地质录井	知识查询	地质录井标准/制度/模板/历史案例/专家经验查询	不用于普通办公问答	knowledge_search, knowledge_manage	knowledge/standards, knowledge/cases	-	llm-wiki-knowledge（部分）	-	可追溯企业知识查询（不替代 Wiki 维护）	4	4	4	3	3.85	L0	KEEP_CORE	企业知识查询唯一专业入口；与 Wiki/蒸馏清晰分工	-
mud-logging-report-generation	地质录井报告生成	.opencode/skills/mud-logging-report-generation	SKILL.md	allow	deny	deny	deny	deny	deny	allow	OK	utf8	地质录井	报告生成	起草/补全/规范化录井日报/完井总结/综合解释报告	不审核报告，不做评价	read, document_generation	knowledge/templates	-	office-assistant 的报告模板	-	地质专业生成能力，区分编辑改写	3	4	4	3	3.65	L1	KEEP_OPTIONAL	文档生成阶段关键，但当前阶段（partial_office_docx）使用频率不高	-
tender-document-review	招标文件/投标文件审核	.opencode/skills/tender-document-review	SKILL.md	allow	deny	deny	allow	deny	deny	deny	OK	utf8	招投标	标书审核	解析/审核招标/投标文件/评分办法/废标风险	不生成投标文件	tender_review	knowledge/templates	-	tender-management（边界不同）	-	标书审核唯一主入口	4	4	5	3	4.05	L0	KEEP_CORE	招标 Agent 唯一审核入口	-
tender-bid-generation	投标文件生成	.opencode/skills/tender-bid-generation	SKILL.md	allow	deny	deny	deny	deny	deny	deny	OK	utf8	招投标	标书生成	基于已确认招标要求矩阵+授权企业资料，生成投标章节	不替代专业审核；不虚构承诺	tender_review（辅助）	knowledge/templates	-	-	-	evidence-grounded 标书生成，强证据契约	3	4	5	4	4.0	L1	KEEP_OPTIONAL	与 tender-document-review 配合，独立价值但仅业务侧	-
tender-management	招标文件管理	.opencode/skills/tender-management	SKILL.md	allow	deny	deny	allow	deny	deny	deny	OK	gbk	招投标	招标文件编制	编写招标技术要求/资格条件/评标办法；招标方视角	非乙方投标任务	tender_review, read	knowledge/templates	-	tender-document-review（边界清晰）	-	招标方视角，与投标/审核分离	2	3	5	3	3.2	L2	KEEP_OPTIONAL	对甲方场景有用，但 MVP 期内乙方角度优先	-
contract-review	审查合同	.opencode/skills/审查合同	SKILL.md	allow	deny	deny	deny	allow	deny	deny	OK	gbk	合同	合同审核	上传合同逐条审查，红黄绿分级；三梯队谈判策略；HSE专项	不替代专业法律审查	contract_review, read, tencent-esign-contract	knowledge/standards	-	contract-management（僵尸）, tencent-esign-contract	-	合同审核主入口，行业 knowhow 内置	4	5	4	3	4.15	L0	KEEP_CORE	合同 Agent 唯一主入口，已被硬编码 allow	-
tencent-esign-contract	腾讯电子签合同	.opencode/skills/tencent-esign-contract	SKILL.md	allow	deny	deny	deny	allow	deny	deny	OK	utf8	合同	合同服务	腾讯电子签合同 AI 助手；起草/签署/审查/对比/法条法规检索	不替代专业法律审查	tencent-esign-contract, read, contract_review	-	-	审查合同	审查合同	外部服务接口（腾讯电子签）	3	3	4	3	3.25	L1	KEEP_OPTIONAL	外部服务封装，仅在企业接入腾讯电子签时使用	-
NDA快筛	NDA Screening	.opencode/skills/NDA快筛	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	合同	NDA 审查	NDA 保密协议八项关键条款快速筛查	非 NDA 合同审查	read	-	-	审查合同	审查合同	NDA 专用快筛	2	2	4	2	2.5	L2	KEEP_OPTIONAL	明确小众场景，但已被审查合同覆盖 70%	-
合同对比	合同对比	.opencode/skills/合同对比	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	合同	合同对比	两份合同逐条语义级对比，红线差异报告	非单份合同审查	read	-	-	审查合同	-	合同版本对比专用	2	2	5	2	2.7	L2	KEEP_OPTIONAL	专业场景，但默认隐藏	-
合同台账提醒	合同台账	.opencode/skills/合同台账提醒	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	合同	合同履约	合同台账录入/到期提醒/履约节点跟踪	非合同审查/起草	read, write	-	-	office-assistant 的待办类任务	-	合同履约台账，辅助任务	2	2	5	2	2.7	L3	MERGE	与 office-assistant 的整改清单/工作计划任务重叠严重，可作为子模板或并入 office-assistant	office-assistant
起草合同	起草合同	.opencode/skills/起草合同	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	合同	合同起草	生成专业级合同初稿 Word 文档，覆盖 8 类行业合同	非合同审查	read, write, minimax-docx	knowledge/templates	-	审查合同（边界不同）	-	合同起草主入口，含行业 knowhow	3	3	5	3	3.5	L2	KEEP_OPTIONAL	独立价值明确，但 MVP 阶段乙方业务优先	-
石油行业合同知识库	石油行业合同知识库	.opencode/skills/石油行业合同知识库	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	合同	合同知识库	5 业务线 + 5 甲方场景，双视角行业惯例参数	非问答 Skill；专供其他合同 Skill 引用	read	knowledge/templates	-	geology-knowledge（不同域）	-	合同知识内部支撑层	3	3	5	2	3.3	FOUNDATION	FOUNDATION	说明文档已声明"不对用户直接展示"，作为合同 Skill 的引用底座，应保持内部	-
谈判备忘整理	谈判备忘整理	.opencode/skills/谈判备忘整理	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	合同	谈判备忘	合同谈判结束后的确认备忘整理	非合同审查/起草/对比	read, write	-	-	office-assistant 会议纪要类	-	合同谈判场景专用	2	2	5	2	2.7	L3	MERGE	与 office-assistant 会议纪要重叠，可作为 office-assistant 的合同谈判子模板	office-assistant
条款经济影响评估	条款经济影响评估	.opencode/skills/条款经济影响评估	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	合同	条款分析	量化合同条款变动经济损失/收益，辅助谈判决策	非单条合同审查	read, bash, python	-	-	-	-	条款经济量化分析	2	2	5	2	2.7	L2	KEEP_OPTIONAL	专业场景，但维护成本偏高	-
合规性检查	合规性检查	.opencode/skills/合规性检查	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	合同	合规审查	合同条款合规性检查（安全生产法/环境保护法/矿产资源法）	非合同风险/谈判	read	knowledge/standards	-	审查合同（边界清晰）	-	行业合规专项	2	2	4	2	2.4	L2	KEEP_OPTIONAL	可并入审查合同作为规则层	-
法条速查	法条速查	.opencode/skills/法条速查	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	合同	法条检索	检索法律条文/司法解释/典型案例	非合同审查/起草	read, webfetch	-	-	-	-	法律检索底座	2	2	5	2	2.7	L2	KEEP_OPTIONAL	作为合同 Skill 的辅助检索能力；建议保持独立但默认隐藏	-
office-assistant	办公助手	.opencode/skills/office-assistant	SKILL.md	allow	allow	deny	deny	deny	allow	deny	OK	utf8	办公	日常办公	工作总结/汇报/纪要/整改清单/工作计划/技术方案/项目申报/材料润色/Excel 汇总	不替代专业审核，不生成地质结论	office_document, read	-	-	long-document-writing, meeting-minutes-manager, material-organizer, autoresearch, humanizer	-	覆盖全部办公场景的任务模板体系	5	5	5	3	4.6	L0	KEEP_CORE	办公 Agent 唯一主入口，覆盖最广	-
long-document-writing	长文档写作	.opencode/skills/long-document-writing	SKILL.md	allow	allow	deny	deny	deny	allow	deny	OK	utf8	办公	长文档写作	长篇报告/白皮书/项目申报/培训材料/多章节手稿	短消息/简单汇报	office_document, read	-	-	office-assistant	office-assistant	长文档结构规划与续写策略	2	3	3	3	2.75	L3	MERGE	office-assistant 任务模板已覆盖长文档场景；独立 Skill 增加路由负担	office-assistant
meeting-minutes-manager	会议纪要管理	.opencode/skills/meeting-minutes-manager	SKILL.md	allow	allow	deny	deny	deny	allow	deny	OK	utf8	办公	会议纪要	录音转写+会议纪要生成+决议跟踪+待办提取	非会议场景	markitdown-skill, openai-whisper-api, office_document	-	-	office-assistant 会议纪要任务	office-assistant	录音转写集成 + 待办跟踪	3	3	4	3	3.2	L3	MERGE	office-assistant 已有会议纪要任务模板；录音转写应作为 office-assistant 的可选子流程	office-assistant
material-organizer	资料整理	.opencode/skills/material-organizer	SKILL.md	allow	allow	deny	deny	deny	allow	deny	OK	utf8	办公	资料整理	批量资料整理/链接采集/扫描目录/分类归档	非结构化办公写作	bash, read, write	-	-	-	-	批量资料预处理	3	3	4	2	3.05	L1	KEEP_OPTIONAL	小雪主入口允许；适合作为预处理 helper	-
