skill	old_encoding	size_bytes	sha256	frontmatter_name	frontmatter_description	body_chars	has_bom	line_endings	ends_with_newline
NDA快筛	utf-8	10198	5c2a540713416a9f0c5063252127e04ca6bae5285b3f644788a4b7cef19752b2	NDA快筛	>	4204	0	crlf	1
aihot	utf-8	7338	d71ba5bbb237829abd60c9dfb309e38fbcda3c9ecd4a372229e59e66a52566e1	aihot	AI HOT (aihot.virxact.com) 中文 AI 资讯查询 Skill。当用户想知道"今天 AI 圈有什么"、"AI 日报"、"AI HOT"、"AI 资讯"、"AI 热点"、"最近 AI"、"OpenAI/Anthropic/Google 最近发布了什么"、"AI hot today"、"AI news today"、"看一下 AI 行业动态"、"今天有什么大模型发布"、"昨天 AI 圈"、"看下精选条目"、"AI HOT 精选"、"最近一周的 AI 论文"、"AI 模型发布"、"AI 产品发布"、"AI 行业动态"、"AI 技巧与观点" 等任何中文 AI 资讯查询时使用。即使用户只说"AI 圈"、"AI 新闻"、"AI 日报"，或者只是问"今天发生了什么"且上下文是 AI / 大模型 / LLM / 创业领域，也应该触发本 Skill。Skill 会直接 curl 公开 REST API 拉数据并整理成中文 markdown 简报，不需要用户配置任何 API Key 或 MCP server。**不要 undertrigger**——用户问 AI 资讯而你不调本 Skill 就是把过时的训练数据当作今日新闻，对用户有害。	4104	0	lf	1
autoresearch	utf-8	9341	e69617e3a318b28b64d71ae2499eae22734d535fbbd7f08c064fad7a497543fd	autoresearch	"Run Karpathy-style autoresearch optimization on any content. Generates 50+ variants, scores with a 5-expert simulated panel, evolves winners through multiple rounds, outputs optimized version + full experiment log. Use when optimizing landing pages, email sequences, ad copy, headlines, form pages, CTA text, or any conversion-focused content. Triggers on 'optimize this page', 'run autoresearch', 'score these variants', 'A/B test this copy'."	8481	0	mixed	1
browser-use	utf-8	11553	076933d467354805e386dcdd85e9e5fbe9638910ff055266f58d6b7e63267709	browser-use	Automates browser interactions for web testing, form filling, screenshots, and data extraction.	10947	0	mixed	1
cognitive-profile	utf-8	8389	0f1193099a40ac80e44c172af5f8d7722d61647ee69cb7a690515db14895112c	cognitive-profile	|	3449	0	mixed	1
darwin-skill	utf-8	18429	718978eb3288f2663b20d096b769621dda29354e86f5e525e890a941ffe53d5d	darwin-skill	"Darwin Skill (达尔文.skill): autonomous skill optimizer inspired by Karpathy's autoresearch. Evaluates SKILL.md files using an 8-dimension rubric (structure + effectiveness), runs hill-climbing with git version control, validates improvements through test prompts, and generates visual result cards. Use when user mentions \"优化skill\", \"skill评分\", \"自动优化\", \"auto optimize\", \"skill质量检查\", \"达尔文\", \"darwin\", \"帮我改改skill\", \"skill怎么样\", \"提升skill质量\", \"skill review\", \"skill打分\"."	9441	0	lf	1
deep-research	utf-8	3274	043a3d76874ba44fede61ffbd73350d3c88326a9c15203ca4c3ec391021aa959	deep-research	"Structured deep research workflow with human-in-the-loop control. Use /research to generate research outline, /research-deep for parallel web search across items, /research-report to compile markdown reports. Supports academic research, benchmark research, technology selection, market analysis, and due diligence. Triggers: 'deep research', 'research topic', 'benchmark comparison', 'technology survey', 'market analysis'. Requires: WebSearch capability."	1581	0	lf	1
deep-research/research-add-fields	utf-8	896	010488537732af5fd80ef7ddd861f17461233d4058fb7508915e191bcd1e9f43		向现有调研outline补充字段定义。	415	0	lf	1
deep-research/research-add-items	utf-8	776	bc8d66ab4320b9725865484923470ff9559c830e3829f67e5311d30f6900bbbf		向现有调研outline补充items（调研对象）。	360	0	lf	1
deep-research/research-deep	utf-8	3385	730393b3b9071e92076512840279c3738f0dd3d88f57e89bd7f8eec699cb5955		读取调研outline，为每个item启动独立agent进行深度调研。禁用task output。	2049	0	lf	1
deep-research/research-en/research-add-fields	utf-8	926	7db43f4e5f759de8b861aced3b688e78747caf305d3c4f00f78d5937e517ed7f		Add field definitions to existing research outline.	759	0	lf	1
deep-research/research-en/research-add-items	utf-8	790	596bda02d419cc13cdc95f5dd2b664bb08c659b070b4d2d1bb5e2372f5a991e0		Add items (research objects) to existing research outline.	616	0	lf	1
deep-research/research-en/research-deep	utf-8	3512	cb8f6c81cd0599d86388d740b4041539dbb2a67c4d9a71544ccdce79c788e873		Read research outline, launch independent agent for each item for deep research. Disable task output.	3312	0	lf	1
deep-research/research-en/research-report	utf-8	3828	a5e81c33404167cb6c56f88ed32a94d105d94183f007f9452dc6148d347bff6d		Summarize deep research results into markdown report, cover all fields, skip uncertain values.	3635	0	lf	1
deep-research/research-en/research	utf-8	4333	d654d83fecb78d74fed35bfcbe3751705b9f8eb69ca0467a6e092417821f54d7		Conduct preliminary research on a topic and generate research outline. For academic research, benchmark research, technology selection, etc.	4071	0	lf	1
deep-research/research-report	utf-8	3585	811193689939043ccd445f180671453cc03ea6e9d58c1ddbb462b8fa9439b196		将deep调研结果汇总为markdown报告，覆盖所有字段，跳过不确定值。	2111	0	lf	1
deep-research/research	utf-8	3934	4fb7a8ea9ceb0557b5551c8777821b84eb1cc225402060022dc355bc27f71d90		对目标话题进行初步调研，生成调研outline。用于学术调研、benchmark调研、技术选型等场景。	2235	0	lf	1
document-review-tracked	utf-8	1859	8343c0a97b89e1027e932f9a9fd5879e732a2cb24659f9871f37e1ea35b1b2b1	document-review-tracked	留痕文档审稿专家。用于 DOCX 合同、报告和方案的逻辑审查、表达改稿、批注决策和修订建议；当用户点名“花叔审稿”“审稿专家”，或要求保留原格式、留下批注、修订痕迹、接受或拒绝修改时使用。	703	0	crlf	1
effect	utf-8	2794	0d27f8d40455cd4d509c0c81f3d2b6edb8319cd8ebd12a2e9f21626fc80495d5	effect	Work with Effect v4 / effect-smol TypeScript code in this repo	2697	0	lf	1
experiment-design	utf-8	8516	24614520d790a81ac3a53d7d1e6d005674f27df2e9822853b31b1286eb494cfc	experiment-design	在采集数据之前，把"想验证什么"变成统计上站得住、可复现、可解释的研究设计。当用户要设计实验/研究方案、选择设计类型（完全随机/随机区组/析因/部分析因/交叉/重复测量/整群随机/响应面）、做随机化与区组、估算样本量与统计功效、规划机器学习消融/基准、或制定统计分析计划与预注册时使用。只管"采集前的设计"；采集后的统计/组学执行交给数据分析类技能。	4180	0	crlf	1
fullstack-dev	utf-8	35030	b38d20077220ae6268bd58fca633dbdd4036ac65f71d112c5a2ca1d93c61aa92	fullstack-dev	|	33368	0	lf	1
geolog-logging-review	utf-8	5518	4f61055b2dc04ae6f7044ba2c7624ddfa758c08eb8625353f0ab4b3f385e3b80	geolog-logging-review	审核地质录井报告及整井资料包。当任务涉及录井报告、完井报告、地质总结、油气显示、气测解释、地化解释、工程录井、地层压力、取心、套管或附表附图审查时使用；支持 DOC、DOCX、PDF、XLS、XLSX、CSV 和文本提取结果，覆盖行业标准符合性、主报告与附件跨文件数据核对、格式检查、专业逻辑检查和证据化问题清单输出。	2113	0	lf	1
geology-knowledge	utf-8	1432	81054097d9f4e37fbc691291f331b03726863aa4182e2999aef8841d6f1a5ec0	geology-knowledge	Query geological mud logging standards, company rules, report templates, historical cases, and expert experience. Use when the user asks for enterprise knowledge or professional mud logging guidance that requires traceable sources.	457	0	crlf	0
giiisp-paper-search-apis	utf-8	12257	13b2bd5b4bd299ed6be7468296bf61960cad215d871d18dfe902291285ffb45e	giiisp-paper-search-apis	调用 Giiisp/集思谱论文检索 POST 接口，按用户问题选择 OA 标题摘要检索或 arXiv 摘要、编号、多字段、标题检索。用于论文检索、文献初筛、arXiv 定位、开放论文补充和引用审计。	7943	0	mixed	1
github-trending-cn	utf-8	2665	c262522bc0db2d41d21c1504cf743643ef4b933b55892b05091ed89ab21d0dae	github-trending-cn	"GitHub Trending Monitor. Fetch GitHub trending repos by daily/weekly/monthly period using real GitHub Search API. Use for general GitHub trending, open-source trends, popular repositories, or AI/ML/LLM project leaderboards. Supports language and AI topic filters plus GITHUB_TOKEN. 触发词：GitHub、trending、开源、热门项目、AI 趋势、AI 项目排行榜。"	1579	0	lf	1
github	utf-8	1306	f8b6f3b380d6d22eb4cefde352b6a8b8d0dd18925c3647ea42c71e5403cdf0fe	github	"Interact with GitHub using the `gh` CLI. Use `gh issue`, `gh pr`, `gh run`, and `gh api` for issues, PRs, CI runs, and advanced queries."	940	0	lf	1
