skill_name	classification	user_visible	node_source	allowed_agent	referenced_by	depends_on	trigger_cluster	duplicate_of	canonical_candidate	business_criticality	archive_risk	recommendation
office-assistant	L0_CORE_ENTRY	yes	physical_SKILL_md	xiaoxue,office,document,knowledge	router.md:9; router.ts:328; skills.yaml:10; agent.ts:215,366,532	office_document tool; minimax-docx/minimax-xlsx/pptx-generator/markitdown-skill	日常办公	long-document-writing/meeting-minutes-manager/humanizer/合同台账提醒/谈判备忘整理/supervision-issue-report	office-assistant	5	low	KEEP_CORE
geolog-logging-review	L0_CORE_ENTRY	yes	physical_SKILL_md	xiaoxue,report	router.md:7,8; router.ts:288; skills.yaml:5,47; agent.ts:188; tests/xiaoxue-router.test.ts:6,68,69	geology-knowledge (cross-ref)	地质录井报告审核	mud-logging-review	geolog-logging-review	5	low	KEEP_CORE
mud-logging-report-generation	L0_CORE_ENTRY	yes	physical_SKILL_md	xiaoxue,document	router.md:23; router.ts:320; skills.yaml:31; agent.ts:219,532	geology-knowledge	地质录井报告生成	office-assistant(报告模板部分重叠)	mud-logging-report-generation	4	low	KEEP_CORE
geology-knowledge	L0_CORE_ENTRY	yes	physical_SKILL_md	xiaoxue,knowledge,report	router.md:20; router.ts:312,319; skills.yaml:25,60; agent.ts:218,495	geology-knowledge core	企业知识查询	-	geology-knowledge	4	low	KEEP_CORE
tender-document-review	L0_CORE_ENTRY	yes	physical_SKILL_md	xiaoxue,tender	router.md:15; router.ts:293; skills.yaml:15; agent.ts:217	tender-bid-generation (complement)	标书审核	tender-management(tender侧不同)	tender-document-review	4	low	KEEP_CORE
tender-bid-generation	L0_CORE_ENTRY	yes	physical_SKILL_md	xiaoxue	tender-bid-generation_self	SELF refs: tender-document-review/tender-management	标书生成	-	tender-bid-generation	4	low	KEEP_CORE
审查合同	L0_CORE_ENTRY	yes	physical_SKILL_md	xiaoxue,contract	router.md:17,21; router.ts:300; skills.yaml:20,57; agent.ts:218,450; references_石油行业合同知识库	合同对比/NDA快筛/法条速查/合同台账提醒/合规性检查/条款经济影响评估/石油行业合同知识库	合同审核	contract-management(僵尸)	审查合同	5	low	KEEP_CORE
起草合同	L0_CORE_ENTRY	yes	physical_SKILL_md	xiaoxue,contract	router.md:18,19; router.ts:135; skills.yaml:57; agent.ts:222,448	read,write,minimax-docx; knowledge/templates	合同起草	-	起草合同	4	low	KEEP_CORE
knowledge-distill	L1_SPECIALIST	no	physical_SKILL_md	none(deny in all agents)	SKILL.md_self refs: geology-knowledge/llm-wiki-knowledge/office-assistant	knowledge_manage; xiaoxue_obsidian_archive	知识生产	-	knowledge-distill (INDEPENDENT, NOT office-assistant sub)	3	low	KEEP_OPTIONAL (待启用)
material-organizer	L1_SPECIALIST	yes	physical_SKILL_md	xiaoxue,office,document,knowledge	router.md:64; router.ts:97; agent.ts:195,358,491,523	bash,read,write	资料整理	-	material-organizer	3	medium	KEEP_OPTIONAL
tencent-esign-contract	L1_SPECIALIST	yes	physical_SKILL_md	xiaoxue,contract	router.md:22; router.ts:128; skills.yaml:58; agent.ts:206,447	ESIGN_TOKEN external API; scripts/tencent_esign.py	合同外部服务	审查合同(描述级重叠)	tencent-esign-contract	3	medium	KEEP_OPTIONAL
llm-wiki-knowledge	L1_SPECIALIST	yes	physical_SKILL_md	xiaoxue,knowledge	router.md:25; router.ts:118,303; skills.yaml:88; agent.ts:223,496	xiaoxue_obsidian_search/read/archive; knowledge_manage	Wiki 维护	llm-wiki	llm-wiki-knowledge	3	medium	KEEP_OPTIONAL
well-control-risk-assessment	L1_SPECIALIST	no	physical_SKILL_md	FUTURE_PRODUCT_PHASE	none(deny)	SKILL.md_self	read	井控风险评估	-	well-control-risk-assessment	3	low	KEEP_OPTIONAL (FUTURE)
tender-management	L1_SPECIALIST	yes	physical_SKILL_md	xiaoxue,tender	router.md:16; router.ts:140; skills.yaml:51; agent.ts:210,421	read	招标方视角	tender-document-review(边界清晰)	tender-management	3	medium	KEEP_OPTIONAL
tencent-meeting-skill	L1_SPECIALIST	yes	physical_SKILL_md	xiaoxue,office	router.md:12; router.ts:146; skills.yaml:72; agent.ts:208,364	TENCENT_MEETING_TOKEN	腾讯会议	meeting-minutes-manager	tencent-meeting-skill	2	medium	KEEP_OPTIONAL
document-review-tracked	L1_SPECIALIST	yes	physical_SKILL_md	xiaoxue,report,contract,document	router.md:14; router.ts:253,260,267; agent.ts:222,394,450,534	read,bash,python	留痕审稿	office-assistant 润色任务	document-review-tracked	3	medium	KEEP_OPTIONAL
aihot	L1_SPECIALIST	yes	physical_SKILL_md	xiaoxue,knowledge	router.ts:210; agent.ts:182,480	bash,curl	AI 资讯	deep-research(通用)	aihot	2	high	KEEP_OPTIONAL
deep-research	L1_SPECIALIST	yes	physical_SKILL_md	xiaoxue,knowledge	router.md:24; router.ts:204; agent.ts:186,483	webfetch,websearch,bash	深度研究	sci-employee-deep-research(80% 重复)	deep-research	3	high	KEEP_OPTIONAL
markitdown-skill	L2_FOUNDATION	no	physical_SKILL_md	xiaoxue,report,tender,contract,document	router.ts:90; skills.yaml:48,53,59; agent.ts:196,389,418,446,521	bash, markitdown CLI	文档转 Markdown	-	markitdown-skill	4	low	KEEP_OPTIONAL (FOUNDATION)
minimax-docx	L2_FOUNDATION	no	physical_SKILL_md	xiaoxue,document	router.ts:228; agent.ts:198,524	minimax-docx CLI	DOCX 生成	office-assistant DOCX 导出	minimax-docx	3	low	KEEP_OPTIONAL (FOUNDATION)
minimax-xlsx	L2_FOUNDATION	no	physical_SKILL_md	xiaoxue,document	router.ts:222; agent.ts:199,525	minimax-xlsx CLI	XLSX 处理	office-assistant Excel 汇总	minimax-xlsx	3	low	KEEP_OPTIONAL (FOUNDATION)
