sha	subject	changed_files	product_runtime_change	model_registry_change	bugfix	test_only	docs_only	already_equivalent_in_mainline	required_for_current_rc	decision
7f2bd70275bb0d9460f9fba730e42c8bb22b9ed1	fix(models): attach instance for connection test	packages/opencode/src/server/routes/instance/httpapi/handlers/global.ts;packages/opencode/test/server/httpapi-global.test.ts	true	true	true	false	false	false	false	POST_RC_BACKLOG
30e1e40ff2ccd8393dacea8180cf29eb7e5ff909	fix(models): recover reference mutations	packages/opencode/src/provider/model-registry.ts;packages/opencode/src/server/routes/instance/httpapi/handlers/global.ts;packages/opencode/test/provider/model-registry/recovery.test.ts;packages/opencode/test/server/httpapi-global.test.ts	true	true	true	false	false	false	false	POST_RC_BACKLOG
4c94175fc828de3ac94d509665a6956d129143a0	fix(models): expose registry recovery state	packages/opencode/src/provider/model-registry.ts;packages/opencode/src/server/routes/instance/httpapi/groups/global.ts;packages/opencode/src/server/routes/instance/httpapi/handlers/global.ts;packages/opencode/test/provider/model-registry/persistence.test.ts;packages/opencode/test/server/httpapi-global.test.ts	true	true	true	false	false	false	false	POST_RC_BACKLOG
2007f76bf8b5f8db59aab627abb56bbaf423c972	fix(models): fail closed on corrupt registry	packages/opencode/src/provider/model-registry.ts;packages/opencode/test/provider/model-registry/persistence.test.ts	true	true	true	false	false	false	false	POST_RC_BACKLOG
1b8d1c71d2a618f1e9f4d7d484887ed4beb4657e	feat(models): complete registry management ui	docs/model-management-acceptance.md;packages/app/src/components/dialog-connect-provider.tsx;packages/app/src/components/dialog-custom-provider-form.ts;packages/app/src/components/dialog-custom-provider.test.ts;packages/app/src/components/dialog-custom-provider.tsx;packages/app/src/components/dialog-select-model-unpaid-v2.tsx;packages/app/src/components/dialog-select-model-unpaid.tsx;packages/app/src/components/internal-provider-surface.test.ts;packages/app/src/components/settings-providers.tsx;packages/app/src/components/settings-v2/model-registry.tsx;packages/app/src/components/settings-v2/models.tsx;packages/app/src/components/settings-v2/providers.tsx;packages/app/src/components/settings-v2/settings-v2.css;packages/app/src/pages/new-session.tsx	true	true	false	false	false	false	false	POST_RC_BACKLOG
01859df9c0539050dd4e0183effe2d51b76d71b4	fix(models): expose registry management api	packages/app/src/utils/model-registry-client.test.ts;packages/app/src/utils/model-registry-client.ts;packages/opencode/src/server/routes/instance/httpapi/groups/global.ts;packages/opencode/src/server/routes/instance/httpapi/handlers/global.ts;packages/opencode/test/server/httpapi-control-plane.test.ts;packages/opencode/test/server/httpapi-global.test.ts	true	true	true	false	false	false	false	POST_RC_BACKLOG
42c4f702cc23a8c78193baf850a7d5564a91e8ac	fix(models): stabilize runtime registry lifecycle	packages/desktop/src/main/enterprise-policy.test.ts;packages/desktop/src/main/enterprise-policy.ts;packages/opencode/src/agent/agent.ts;packages/opencode/src/provider/provider.ts;packages/opencode/src/session/prompt.ts;packages/opencode/src/xiaoxue/enterprise-policy.ts;packages/opencode/test/provider/model-registry/agent-modelkey.test.ts;packages/opencode/test/provider/model-registry/provider-integration.test.ts;packages/opencode/test/provider/model-registry/request-evidence.test.ts;packages/opencode/test/provider/provider.test.ts;packages/opencode/test/xiaoxue/enterprise-policy.test.ts	true	true	true	false	false	false	false	POST_RC_BACKLOG
a24653025da65a74070901bed6829f58bd98e00c	fix(models): stabilize registry state	packages/opencode/src/provider/model-registry.ts;packages/opencode/test/provider/model-registry/_helper.ts;packages/opencode/test/provider/model-registry/connection.test.ts;packages/opencode/test/provider/model-registry/crud.test.ts;packages/opencode/test/provider/model-registry/persistence.test.ts;packages/opencode/test/provider/model-registry/references.test.ts;packages/opencode/test/provider/model-registry/resolve.test.ts	true	true	true	false	false	false	false	POST_RC_BACKLOG
32072d95d704142d7cbf262c85b197850e6ed87b	fix(models): attach instance for connection test	packages/opencode/src/server/routes/instance/httpapi/handlers/global.ts;packages/opencode/test/server/httpapi-global.test.ts	true	true	true	false	false	false	false	SUPERSEDED
988666bb3cfac37ac34f317dbe5c3c295c29504e	fix(models): recover reference mutations	packages/opencode/src/provider/model-registry.ts;packages/opencode/src/server/routes/instance/httpapi/handlers/global.ts;packages/opencode/test/provider/model-registry/recovery.test.ts;packages/opencode/test/server/httpapi-global.test.ts	true	true	true	false	false	false	false	SUPERSEDED
0bc376a2772191fc1579f69f87867b516ccee06a	fix(models): expose registry recovery state	packages/opencode/src/provider/model-registry.ts;packages/opencode/src/server/routes/instance/httpapi/groups/global.ts;packages/opencode/src/server/routes/instance/httpapi/handlers/global.ts;packages/opencode/test/provider/model-registry/persistence.test.ts;packages/opencode/test/server/httpapi-global.test.ts	true	true	true	false	false	false	false	SUPERSEDED
1e101425183a78c30defe52031a6732405262b48	fix(models): fail closed on corrupt registry	packages/opencode/src/provider/model-registry.ts;packages/opencode/test/provider/model-registry/persistence.test.ts	true	true	true	false	false	false	false	SUPERSEDED
d29c4d6df8db564d4b19d5565414fce2c1ae6942	feat(models): complete registry management ui	docs/model-management-acceptance.md;packages/app/src/components/dialog-connect-provider.tsx;packages/app/src/components/dialog-custom-provider-form.ts;packages/app/src/components/dialog-custom-provider.test.ts;packages/app/src/components/dialog-custom-provider.tsx;packages/app/src/components/dialog-select-model-unpaid-v2.tsx;packages/app/src/components/dialog-select-model-unpaid.tsx;packages/app/src/components/internal-provider-surface.test.ts;packages/app/src/components/settings-providers.tsx;packages/app/src/components/settings-v2/model-registry.tsx;packages/app/src/components/settings-v2/models.tsx;packages/app/src/components/settings-v2/providers.tsx;packages/app/src/components/settings-v2/settings-v2.css;packages/app/src/pages/new-session.tsx	true	true	false	false	false	false	false	SUPERSEDED
3d164469569445fefa34b568493d629fc977c15d	fix(models): expose registry management api	packages/app/src/utils/model-registry-client.test.ts;packages/app/src/utils/model-registry-client.ts;packages/opencode/src/server/routes/instance/httpapi/groups/global.ts;packages/opencode/src/server/routes/instance/httpapi/handlers/global.ts;packages/opencode/test/server/httpapi-control-plane.test.ts;packages/opencode/test/server/httpapi-global.test.ts	true	true	true	false	false	false	false	SUPERSEDED
